"Policy","Version","Reference ID","Type","Evaluation type","Default effect"
"/providers/microsoft.authorization/policydefinitions/1bd91eae-4429-4f23-b780-8c9622e023e3","1.*.*","aad-domainservices","","",""
"/providers/microsoft.authorization/policydefinitions/f969646f-b6b8-45a0-b736-bf9b4bb933dc","1.*.*","agfoodplatform-farmbeats","","",""
"/providers/microsoft.authorization/policydefinitions/e40b8f6f-0ecf-4c3b-b095-ba3562256e48","1.*.*","analysisservices-servers","","",""
"/providers/microsoft.authorization/policydefinitions/567c93f7-3661-494f-a30f-0a94d9bfebf8","1.*.*","apimanagement-service","","",""
"/providers/microsoft.authorization/policydefinitions/6a664864-e2b5-413e-b930-f11caa132f16","1.*.*","app-managedenvironments","","",""
"/providers/microsoft.authorization/policydefinitions/4b05de63-3ad2-4f6d-b421-da21f1328f3b","1.*.*","appconfiguration-configurationstores","","",""
"/providers/microsoft.authorization/policydefinitions/0b6b8abb-7761-4e02-ae0e-2c873b5152ca","1.*.*","appplatform-spring","","",""
"/providers/microsoft.authorization/policydefinitions/856331d3-0169-4dd9-9b04-cbb2ad3d1cf2","1.*.*","attestation-attestationproviders","","",""
"/providers/microsoft.authorization/policydefinitions/b797045a-b3cd-46e4-adc4-bbadb3381d78","1.*.*","automation-automationaccounts","","",""
"/providers/microsoft.authorization/policydefinitions/234bbd1b-05f6-4639-8770-1cd5278ba2c9","1.*.*","autonomousdevelopmentplatform-workspaces","","",""
"/providers/microsoft.authorization/policydefinitions/69ab8bfc-dc5b-443d-93a7-7531551dec66","1.*.*","avs-privateclouds","","",""
"/providers/microsoft.authorization/policydefinitions/81039988-1f84-4aa6-8039-0a64c2a301b4","1.*.*","azureplaywrightservice-accounts","","",""
"/providers/microsoft.authorization/policydefinitions/bbf47f27-95e4-46a0-82e1-898ce046d857","1.*.*","azuresphere-catalogs","","",""
"/providers/microsoft.authorization/policydefinitions/9fcae8ed-246a-407b-8f75-f3500ff2c9db","1.*.*","batch-batchaccounts","","",""
"/providers/microsoft.authorization/policydefinitions/415eaa04-e9db-476a-ba43-092d70ebe1e7","1.*.*","botservice-botservices","","",""
"/providers/microsoft.authorization/policydefinitions/aec4c33f-2f2a-4fd3-91cd-24a939513c60","1.*.*","cache-redis","","",""
"/providers/microsoft.authorization/policydefinitions/fa570aa1-acca-4eea-8e5a-233cf2c5e4c2","1.*.*","cache-redisenterprise-databases","","",""
"/providers/microsoft.authorization/policydefinitions/2fbd2ca9-e7b2-47a0-a8b2-575f3f7607d4","1.*.*","cdn-cdnwebapplicationfirewallpolicies","","",""
"/providers/microsoft.authorization/policydefinitions/6201aeb7-2b5c-4671-8ab4-5d3ba4d77f3b","1.*.*","cdn-profiles","","",""
"/providers/microsoft.authorization/policydefinitions/e74570cf-1b7d-4bed-b79e-d1fd1117a39a","1.*.*","cdn-profiles-endpoints","","",""
"/providers/microsoft.authorization/policydefinitions/39078c44-b8d4-4c7d-8579-7f021d326ebf","1.*.*","chaos-experiments","","",""
"/providers/microsoft.authorization/policydefinitions/087dbf66-448d-4235-b7b8-17af48edc9db","1.*.*","classicnetwork-networksecuritygroups","","",""
"/providers/microsoft.authorization/policydefinitions/aade2723-e7f6-46fd-b1dc-e6c2c7f7edc4","1.*.*","cloudtest-hostedpools","","",""
"/providers/microsoft.authorization/policydefinitions/958060c2-8d8e-478e-b3ec-d3d2249b461c","1.*.*","codesigning-codesigningaccounts","","",""
"/providers/microsoft.authorization/policydefinitions/55d1f543-d1b0-4811-9663-d6d0dbc6326d","1.*.*","cognitiveservices-accounts","","",""
"/providers/microsoft.authorization/policydefinitions/acbb9698-46bd-4800-89da-e3473c4ab10d","1.*.*","communication-communicationservices","","",""
"/providers/microsoft.authorization/policydefinitions/0509e2d8-d657-4563-a7c8-b88b9180a6e8","1.*.*","community-communitytrainings","","",""
"/providers/microsoft.authorization/policydefinitions/b6f29e6b-4b21-4bb6-a997-38592fa02864","1.*.*","confidentialledger-managedccfs","","",""
"/providers/microsoft.authorization/policydefinitions/c13b41e7-a45f-4600-96c0-18f84fb07771","1.*.*","connectedcache-enterprisemcccustomers","","",""
"/providers/microsoft.authorization/policydefinitions/0e4325e3-228b-40f0-83ae-9c03276858c1","1.*.*","connectedcache-ispcustomers","","",""
"/providers/microsoft.authorization/policydefinitions/85779c9a-7fdf-4294-937c-ded183166fa8","1.*.*","containerinstance-containergroups","","",""
"/providers/microsoft.authorization/policydefinitions/56288eb2-4350-461d-9ece-2bb242269dce","1.*.*","containerregistry-registries","","",""
